,body
0,"
---------------------- Forwarded by Phillip Platter/HOU/ECT on 04/02/2001 09:14 AM ---------------------------
From:	Michael Spruiell@EES on 03/30/2001 02:27 PM CST
To:	Scheduling
cc:	 
Subject:	EES CA SCHEDULING for 4/3/01

 		


      
"
1,"We have received an executed EEI Master Power Purchase and Sale Agreement dated 8/7/2001 from the referenced CP, which will be scanned into Livelink.

PLEASE REPLY IF YOU NO LONGER NEED TO RECEIVE THIS EMAIL.
"
2,"Lyn,

I have reviewed the above-referenced Agreement. We will need to delete
Part II of the Agreement which will also be covered by our Agreement
with Bank Of America.  Please let me know your thoughts with respect to
Item 2 of the Agreement with respect to making the collateral subject to
a lien.  The Agreement with Bank of America contains a similar provision
and I believe that we should only be permitting one lien.  Please let me
know your thoughts.  After we receive your response, we should be in a
position shortly thereafter to provide you with all of our comments to
the above--referenced Agreement.
"
3,"Dear Vince,
?
I just wondered whether you have had chance to  look at your bullet points 
and bio for the maths course. If so please could  could email them to me as 
soon as possible. Could you also let me know whether  your company 
affiliation should now be Enron North America.
?
Thanks Vince and best regards,
?
Vicky
"
4,"please match deal 204787 with 204788
"
5,"

		FINAL NOTICE -- FINAL NOTICE -- FINAL NOTICE -- FINAL NOTICE

The Enterprise Storage Team will be migrating UNIX home directories and applications to new hardware on October 13 and 14, 2001.  The migration will begin on Saturday the 13th at 7:00 PM and will be completed by 1:00 AM on Sunday, October 14, 2001.

The migration requires a total system outage; so home directories and applications will not be available during the above time period.  Please log off before you leave for the weekend.
Development teams members will test migrated applications on Sunday, October 14, 2001.

If you encounter or observe abnormal behavior with any application used in your normal course of business, please contact the resolution center at 713-853-1411.  The resolution center can escalate to the appropriate resource.
 


Enterprise Storage Team
"
6,"Please disregard previous email. 

Attached is the Friday peer group reporting.
DO NOT UPDATE LINKS WHEN THE FILE IS OPEN!
Please call if you have any questions.

 
Investor Relations
"
7,"(See attached file: hpl0721.xls)

 - hpl0721.xls
"
8,"Martin - You gave me Jeff George rather than Eddie George. - I don't want to 
use all my points to pick him back up in Free Agency.

QB - Steve McNair
RB - Jeff George
RB - Tim Biak.
WR - Iasaac Bruce
WR - Tim Brown
WR - Jerry Rice
K & D - Tennessee

Why do I like my team better than those 2nd place - NY Tailors?
"
9,"Probably right, but I'm working on it.  We may be able to make an argument for pass thru to all customers which would neutralize the impact on new business and we may be able to do it without a huge effort.

 -----Original Message-----
From: 	Shapiro, Richard  
Sent:	Tuesday, October 09, 2001 9:19 AM
To:	Migden, Janine
Cc:	Steffes, James D.
Subject:	RE: ComEd Transmission Rate Increase

Our ability to effect change.

 -----Original Message-----
From: 	Migden, Janine  
Sent:	Tuesday, October 09, 2001 8:55 AM
To:	Shapiro, Richard
Cc:	Steffes, James D.
Subject:	RE: ComEd Transmission Rate Increase

Not sure I understand what you mean.  Are you referring to what ComEd is proposing or our ability to affect a change?

 -----Original Message-----
From: 	Shapiro, Richard  
Sent:	Friday, October 05, 2001 1:11 PM
To:	Migden, Janine
Cc:	Steffes, James D.
Subject:	FW: ComEd Transmission Rate Increase

I am as much, if not more,  skeptical of this potential endeavor than Guy.

 -----Original Message-----
From: 	Sharfman, Guy  
Sent:	Friday, October 05, 2001 12:19 PM
To:	Migden, Janine; Ulrich, Marc; Kingerski, Harry; Merola, Jeff; Fulton, Donna; Dotson, Marcus
Cc:	Shapiro, Richard; Steffes, James D.; Nicolay, Christi L.; Boston, Roy
Subject:	RE: ComEd Transmission Rate Increase

Janine:

Can you make sure that this increase will really only impact unbundled customers.  Since transmission prices are regulated by FERC I would think that all customers, bundled or unbundled, would be subject to any increase.

Also, can you give a time when FERC is due to rule on this issue and how long it will be, if ComEd's proposed impact passes, before transmission rates might be affected.

I would also like to know how ComEd is justifying this increase and what Enron's counter position and arguments are.

Thanks,

Guy

 -----Original Message-----
From: 	Migden, Janine  
Sent:	Friday, October 05, 2001 10:35 AM
To:	Ulrich, Marc; Sharfman, Guy; Kingerski, Harry; Merola, Jeff; Fulton, Donna; Dotson, Marcus
Cc:	Shapiro, Richard; Steffes, James D.; Nicolay, Christi L.; Boston, Roy
Subject:	ComEd Transmission Rate Increase

ComEd has filed to increase its revenue requirements from $170 mil. to $340 which will have an adverse impact on EES's book of business.  From an EPMI standpoint, they are somewhat indifferent to the increase as long as all entities are treated the same and pay the same price.  

Guy Sharfman is going to analyse the impact on our books to determine our business interest.
Donna Fulton is going to check into the time frame for the proceeding at FERC.  We have already filed an intervention.

The problem in Illinois is that we may face the same problem on transmission that we face with distribution where unbundled customers could pay more for these services than bundled customers.  Thus, in addition to being concerned about our current book, this could adversely affect our ability to attract customers with our new product.  While we do not take on the transmission risk, we still would not be competitive if our transmission rate is higher than what a bundled customer faces. 

Will keep you posted to discuss decisions and strategy once the fact gathering is completed.

Janine
"
